2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -5.866666666666697 , 1.6
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -5.333333333333304 , 1.0666666666667879
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -5.866666666666697 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -4.800000000000001 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -2.133333333333303 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -1.066666666666697 , -3.2
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 2.133333333333394 , -14.4
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 19.200000000000003 , -22.400000000000002
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 35.733333333333306 , -22.933333333333394
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 38.400000000000006 , -13.866666666666607
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 21.333333333333304 , -6.4
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 7.466666666666652 , -0.5333333333333939
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 0.0 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 34.66666666666665 , -2.666666666666606
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 7.466666666666697 , -3.2
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 24.0 , -12.8
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 29.866666666666607 , -21.333333333333396
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 29.333333333333396 , -22.933333333333213
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 30.933333333333305 , -25.06666666666679
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 32.5333333333333 , -25.6
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
